keys,tr,en
BUILDING_TURBINE,Rüzgâr Türbini,Wind Turbine
BUILDING_TURBINE_DESC,"Çevresindeki her şeye enerji verir. O olmadan hiçbir şey çalışmaz.","Supplies power to everything nearby. Nothing else runs without it."
BUILDING_PURIFIER,Toprak Arıtıcı,Soil Purifier
BUILDING_PURIFIER_DESC,"Topraktaki zehri çeker; kök tutabilecek bir zemin bırakır.","Draws poison out of the ground, leaving soil that can hold roots."
BUILDING_PUMP,Su Pompası,Water Pump
BUILDING_PUMP_DESC,"Çevresindeki kuru yatakları doldurur. Açık suyun kıyısında durmalı.","Fills dry channels around it. Must stand beside open water."
BUILDING_IRRIGATOR,Sulayıcı,Irrigator
BUILDING_IRRIGATOR_DESC,"Kuru toprağa nem yayar; yeşilliğin tutunmasını sağlar.","Spreads moisture into dry soil so greenery can take hold."
BUILDING_EXCAVATOR,Kazıcı,Excavator
BUILDING_EXCAVATOR_DESC,"Zemini oyup yatak açar. Tek seferlik ve geri alınamaz.","Carves the ground into a channel. One-shot, and it cannot be undone."
BUILDING_KILN,Taş Fırını,Stone Kiln
BUILDING_KILN_DESC,"Ana kayayı tepelere ve yamaçlara kaldırır; suyun nereye akacağını belirler.","Raises bedrock into hills and cliffs, shaping where water will run."
BUILDING_MARSH_SEEDER,Bataklık Ekici,Marsh Seeder
BUILDING_MARSH_SEEDER_DESC,"Toprağı doygunluğun ötesine taşırır; yeşili sulak alana çevirir.","Floods soil past saturation, turning green into wetland."
BUILDING_ARBORETUM,Ağaçlık,Arboretum
BUILDING_ARBORETUM_DESC,"Toprağı olgun ağaçların tutunabileceği kadar zenginleştirir.","Enriches soil enough for mature trees to establish."
BUILDING_APIARY,Arılık,Apiary
BUILDING_APIARY_DESC,"Canlı toprağı tozlaştırır. Hiçbir şeyin yetişmediği yerde işe yaramaz.","Pollinates living ground. Does nothing where nothing grows yet."
BUILDING_SOLAR_LENS,Güneş Merceği,Solar Lens
BUILDING_SOLAR_LENS_DESC,"Çevredeki havayı ısıtır. Çalılığın ve resifin önünü açar.","Warms the surrounding air. Opens up scrubland and reefs."
BUILDING_CONDENSER,Sis Yoğunlaştırıcı,Mist Condenser
BUILDING_CONDENSER_DESC,"Geniş bir alanı serinletir; soğuk kalması gereken yeri korur.","Cools a wide area, holding back the heat where you need it cold."
